iso_code,continent,location,date,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,05-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,06-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,07-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,08-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,09-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,10-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,11-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,12-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,13-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,14-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,15-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,16-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,17-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,18-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,19-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,20-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,21-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,22-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,23-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,24-01-2020,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
